k,n_patients,n_pos,AUPRC,AUROC
337,258,12,0.21603300675296985,0.7113821138211381
338,253,12,0.33396027325226235,0.7041839557399723
339,253,12,0.24929737305978653,0.7045297372060858
340,251,12,0.21208664931081922,0.698744769874477
341,250,12,0.3373984021360334,0.7219887955182073
342,249,12,0.2525731206718082,0.7273206751054851
343,247,12,0.22795204658297083,0.7265957446808511
344,247,12,0.13169938053528293,0.6975177304964539
345,246,12,0.1425950750659697,0.6994301994301995
346,245,12,0.29908092334522257,0.7322961373390559
347,244,12,0.2863019396185288,0.7534123563218391
348,244,12,0.2698685351400007,0.7485632183908045
349,243,12,0.24944202856101524,0.7404401154401155
350,243,12,0.2804935133442259,0.7525252525252525
351,240,12,0.2682441890951971,0.7640716374269005
352,239,12,0.1974355634305241,0.7589941262848753
353,236,12,0.24890437127711318,0.7771577380952381
354,235,12,0.15840621803381882,0.7636397608370702
355,235,12,0.1624867015663114,0.7479446935724963
356,235,12,0.21985756576586338,0.7217862481315397
357,234,12,0.2780436276581576,0.7130255255255257
358,234,12,0.23259249263223708,0.7400525525525525
359,234,12,0.22297892447577322,0.721846846846847
360,232,12,0.24634711419123534,0.715719696969697
361,232,12,0.3034832888312026,0.7541666666666667
362,232,12,0.3041714986444564,0.7225378787878789
363,231,12,0.2022632159087096,0.7296423135464232
364,231,12,0.2514187416383176,0.7157534246575343
365,231,12,0.19721345696783635,0.7285007610350076
366,231,12,0.24120385959324397,0.7427701674277016
367,229,12,0.252790631208934,0.7398233486943164
368,228,12,0.26563484165181256,0.745949074074074
369,227,12,0.2662626933036476,0.7401162790697675
370,226,12,0.2811745762759207,0.7190420560747663
371,226,12,0.2541274478955875,0.7165109034267914
372,226,12,0.1892556983357995,0.702297507788162
373,225,12,0.21424632996095352,0.7071596244131455
374,225,12,0.26714208348182433,0.7304381846635368
375,225,12,0.24105897211467853,0.7116588419405321
376,221,12,0.1857097429895377,0.7131180223285486
377,220,12,0.21706438105285422,0.7131410256410257
378,219,12,0.2931164465366419,0.7584541062801933
379,219,12,0.24168859509376334,0.7280595813204509
380,217,12,0.2652950441856921,0.7376016260162602
381,217,12,0.24087444433687177,0.7241869918699186
382,216,12,0.19307267843565903,0.7371323529411765
383,216,12,0.26505735730950536,0.7387663398692811
384,215,12,0.23668148351657523,0.7241379310344828
385,214,12,0.19487034430615666,0.7355610561056105
386,211,11,0.150028006333002,0.7072727272727273
387,210,11,0.14918617246400723,0.719278209227958
388,210,11,0.14144089885995403,0.715623572407492
389,208,11,0.11537075688096415,0.6762805722196585
390,207,11,0.22120957298258692,0.7249536178107606
391,207,11,0.16397029570984714,0.7263450834879406
392,205,11,0.1681370371757575,0.7312558575445174
393,204,10,0.12588261738261738,0.7072164948453609
394,203,10,0.15313723416937214,0.7186528497409326
395,202,10,0.13297810905183993,0.7252604166666666
396,202,10,0.13518880485497548,0.7302083333333333
397,201,10,0.09448075793231686,0.7143979057591623
398,200,10,0.09659196391848401,0.7026315789473684
399,199,10,0.0942947191346939,0.6973544973544974
400,198,10,0.1078611325532757,0.7273936170212766
401,198,10,0.08641422841098047,0.6840425531914894
402,195,10,0.12179300233216563,0.7448648648648649
403,193,10,0.10090155302946503,0.7098360655737705
404,191,10,0.09505889422317199,0.707182320441989
405,189,10,0.10262156850635776,0.7134078212290503
406,189,10,0.09145643962180741,0.6793296089385474
407,189,10,0.1003016253705613,0.708100558659218
408,188,10,0.12345533188670443,0.725561797752809
409,188,10,0.10505605705662815,0.7081460674157304
410,187,10,0.10903738845374218,0.6994350282485876
411,187,10,0.13098700911496702,0.7225988700564971
412,187,10,0.15215284885995972,0.6966101694915254
413,187,10,0.14960809214049495,0.7112994350282487
414,187,10,0.12456432328896995,0.7022598870056498
415,186,9,0.09694960230260966,0.6817325800376648
416,185,9,0.09826887908038706,0.7061237373737373
417,185,9,0.08854130456050918,0.6925505050505051
418,183,9,0.08599607320975305,0.6711366538952745
419,181,8,0.08314075973273177,0.6903901734104047
420,180,7,0.0857998429211574,0.7188274153592072
421,179,7,0.10929889312948023,0.7462624584717608
422,177,7,0.14208244107702056,0.7747899159663865
423,176,7,0.10941187665697379,0.7413355874894337
424,175,7,0.11305471204582013,0.7585034013605442
425,173,7,0.1837682951968666,0.7844234079173839
426,170,7,0.16859589230429012,0.7440841367221736
427,169,7,0.16430674454953131,0.7680776014109347
428,169,7,0.11885913995442017,0.7204585537918872
429,167,7,0.1704977562120419,0.7669642857142857
430,163,7,0.14253914005793705,0.7628205128205128
431,163,7,0.18572349721023262,0.7724358974358975
432,162,7,0.19920477383531568,0.7755760368663593
433,162,7,0.18130036148708148,0.7958525345622119
434,162,7,0.14395642296333583,0.772811059907834
435,162,7,0.18296607046607044,0.7847926267281106
436,162,7,0.13870337624088563,0.7714285714285715
437,162,7,0.12017938625081483,0.7511520737327189
438,159,6,0.11941322566322565,0.7456427015250544
